PROMPT,JAPANESE HAIKU,RUSSIAN TRANSLATION
Создай хайку о празднике,燕来て山家に鳴けば春祭,Ласточки прилетели \ Кричат в горном доме \ Весенний фестиваль
Придумай хайку о здоровье,春火桶命たまひし医師とゐて,Весенняя жаровня \ Даровавший жизнь врач \ Здесь
Напиши хайку об одиночестве,癒えても我団欒の一人春の炉に,Даже исцелившись \ Я один в кругу \ У весеннего очага
Создай хайку о картинах,春暖炉名画の女犬を抱く,Весенний тёплый очаг \ Женщина с известной картины \ Держит собаку
Придумай хайку о цвете,春手套白きに透けるルビーの朱,Весенние перчатки \ Сквозь белизну просвечивает \ Рубиновая алая
Напиши хайку о работе,しごき検る春挽糸の細さ太さ,Проверяю натяжение \ Весенняя пряжа \ Тонкость и толщина
Создай хайку о красоте,佐保姫や青柳の眉桃の頬,Принцесса Сахо \ Ивы брови \ Персики щёки
Придумай хайку о ветре,佐保姫のたぶさの風か少しづゝ,Принцесса Сахо \ Её пучки волос ветер \ Понемногу
Напиши хайку о вдохновении,今朝見ればほ句にてはなし春の興,Посмотрев сегодня утром \ Не для хайку \ Весенний дух
Создай хайку о ветвях,初島にさやる下枝の春意かな,Первый остров \ Нижние ветви шелестят \ Весеннее чувство
Придумай хайку о прикосновении,指軽く触れてすべりて春障子,Пальцы легко \ Прикасаются скользят \ Весенняя сёдзи
Напиши хайку о сне,春の夢さめて隣のはなしかな,Весенний сон \ Проснувшись сосед \ Разговаривает
Создай хайку о лице,渋糊のひつぱる顔や団扇はり,Клей шибу \ Лицо натянуто \ Наклеиваю веер
Придумай хайку о времени,春遅し泉の末の倒れ木も,Весна поздняя \ Даже упавшее дерево \ У конца источника
Напиши хайку о горах,薩埵富士雪縞あらき雨水かな,Гора Сатта Фудзи \ Снежные полосы грубы \ Дождевая вода
Создай хайку о льде,魚の氷に上るや天下春の風,Рыба поднимается \ На лёд \ Весенний ветер вселенной
Придумай хайку о холоде,まんさくや春の寒さの別れ際,Ведьмин орех \ Весенний холод \ Момент прощания
Напиши хайку о ветре,春北風白嶽の陽を吹きゆがむ,Весенний северный ветер \ Дует искривляет \ Солнце Белой горы
Создай хайку о цветении,ちら／＼と空を梅ちり二月尽,Вразброс \ Сливы падают с неба \ Конец второго месяца
Придумай хайку о деревьях,春一番木々は根を緊めおのれ鳴らす,Первый весенний ветер \ Деревья сжимают корни \ Сами звучат
Напиши хайку о памяти,喪の花環ミモザをはじめ既に萎ゆ,Траурный венок \ Мимоза начала \ Уже вянуть
Создай хайку о падении,山茱萸の盛りの枝の錯落す,Кизил в полном цвету \ Ветви \ Беспорядочно опадают
Придумай хайку о путешествии,渡り漁夫汽車乗り換の駅に遊ぶ,Перелётный рыбак \ На станции пересадки \ Играет
Напиши хайку о свете,雪割草灯にさへ縋り茎かたぶく,Подснежник \ Даже к лампе цепляется \ Стебель наклоняется
Создай хайку о звуках,次の岩へ海苔掻移りぬ音幽か,К следующему камню \ Перемещаю сбор водорослей \ Звук приглушён
Придумай хайку о свежести,水灌菜青鮮やかに浸し物,Овощи с водяной наливкой \ Сине-свежие \ Маринованные продукты
Напиши хайку о насекомых,君子蘭蟻頭をふりて頂に,Кливия \ Муравей трясёт головой \ На макушке
Создай хайку о море,渡り来て煙突堤のこぼれ海猫,Прилетев \ Труба набережной \ Пролитая чайка
Придумай хайку о цветах,芝ひろく踵をかへすクローカス,Газон широк \ Поворачиваю пятки \ Крокусы
Напиши хайку об огне,芝の火のおもひとゞまるところかな,Газонный огонь \ Мысли останавливаются \ Место
Создай хайку о семье,二月菜母を誘ひて母に随き,Овощи второго месяца \ Приглашаю мать \ Следую за матерью
Придумай хайку о снеге,揚げて来し壬生菜の雪をはらひけり,Принесённые жареные \ Овощи мибу \ Стряхиваю снег
Напиши хайку о флаге,種池をかへて祭の旗上げぬ,Сменив семенной пруд \ Фестивальный флаг \ Поднят
Создай хайку о времени,馬鈴薯の芽のふゆる日々風の日々,Картофельные ростки \ Распускаются дни \ Ветреные дни
Придумай хайку о любви,ヴァレンタインデー学僧の眉澄むに遭ふ,День святого Валентина \ Встречаю студента-монаха \ С ясными бровями
Напиши хайку о встрече,人に遭へぬ帰途の追風義仲忌,Не встретив человека \ Попутный ветер на обратном пути \ Поминальный день Ёсинака
Создай хайку о празднике,遊楽の夜を蒸す翳に謝肉祭,Ночь удовольствий и игр \ Тускнеет в дымке \ Карнавал
Придумай хайку о детстве,あら薦にをさなき官女や春冴ゆる,На грубой циновке \ Маленькая служанка \ Весенняя ясность
Напиши хайку о истории,人の世になりても久し紀元節,Став человеческим миром \ Давно \ День основания империи
Создай хайку о растениях,豌豆の蔓立ち初めて聖灰歳,Горох \ Лозы начинают расти \ Пепельная среда
Придумай хайку о вине,義仲忌隣最合に酒そゝぐ,Поминальный день Ёсинака \ Соседнему Сайго \ Наливаю вино
Напиши хайку об утре,朝鷹のふりむくかたや星一つ,Утренний ястреб \ Сторона оглядывается \ Одна звезда
Создай хайку о танце,満堂の裸七押し踊りけり,Полный зал \ Семеро голых \ Танцуют толкаясь
Придумай хайку о звуках,霞む野に鶯笛を籟すかな,В туманном поле \ Соловей свистит в флейту \ Звучит
Напиши хайку о ветре,黒北風や蜑の戸口に護符貼られ,Чёрный северный ветер \ На дверях ама \ Наклеен талисман
Создай хайку о горах,八講の比良山見ゆれ枯木原,Восемь лекций \ Видна гора Хира \ Поле сухих деревьев
Придумай хайку о небе,竜天に黄帝の御衣翻へる,Дракон в небе \ Одежды Жёлтого императора \ Развеваются
Напиши хайку о земле,お社日や門田の土を神の棚,День святилища \ Землю с поля у ворот \ На божественную полку
Создай хайку о закате,春分の入日笹子に今滾つ,Весеннее равноденствие \ Закат в Сасаго \ Сейчас кипит
Придумай хайку о свете,行灯に三月尽の油かな,Бумажный фонарь \ Масло конца третьего месяца \ О
Напиши хайку о доме,あり暮らす三月尽の草戸哉,Проживая \ Конец третьего месяца \ Травяная дверь
Создай хайку о птицах,観音の鳩にとくなれ馬糞鷹,Каннон \ Голуби привыкли \ Ястреб с конским навозом
Придумай хайку о середине,冴え返り冴え返りつつ春なかば,Проясняясь вновь \ Снова проясняясь \ Середина весны
Напиши хайку о путешествии,寒食のうさもひとしほ旅衣,Холодная пища \ Тоска тоже немного \ Дорожная одежда
Создай хайку об облаках,朝たつや鳥見かへれば雲に入る,Утро настаёт \ Оглядываюсь на птиц \ Входят в облака
Придумай хайку о небе,桜ちる空や越後の鳥曇り,Сакура опадает \ Небо Ётиго \ Птичья облачность
Напиши хайку о пруде,鳥雲に入る熊谷の塘かな,Птицы входят в облака \ Пруд Кумагая \ О
Создай хайку о бабочках,初蝶や京めづらしき春の空,Первая бабочка \ Редкость в столице \ Весеннее небо
Придумай хайку о насекомых,寒食や竈をめぐる油虫,Холодная пища \ Вокруг очага \ Мокрицы
Напиши хайку о реке,長へに江流西す鳥雲に,Долго \ Река течёт на запад \ В птичьи облака
Создай хайку об острове,行春に佐渡や越後の鳥曇り,Уходящая весна \ Садо и Ётиго \ Птичья облачность
Придумай хайку о земле,今出し地虫哀れめ道の中,Сейчас выпуская \ Земляных червей жалко \ На дороге
Напиши хайку о тумане,蟇交る山中に霧とどこほり,Жабы спариваются \ В горах туман \ Застаивается
Создай хайку о муравьях,大石や蟻穴を出て二三匹,Большой камень \ Выходят из муравейника \ Два-три
Придумай хайку о ранах,楊梅や刃創入れたる花ざかり,Восковница \ С нанесённым ранением \ В полном цвету
Напиши хайку о путешествии,山里や旅にしあれは令法飯,Горная деревня \ Если в путешествии \ Еда Рэйхо
Создай хайку о тени,地虫出し穴やさら／＼竹の影,Выпуская земляных червей \ Норы ах \ Ослепительны тени бамбука
Придумай хайку о тишине,地虫出て天地しずかやけし畠,Земляные черви выходят \ Небо и земля тихи \ Маковое поле
Напиши хайку о пухе,窓先をポプラの絮のよぎりけり,Перед окном \ Тополиный пух \ Пролетает
Создай хайку о ящерицах,蜥蜴出て新らしき家の主眄たり,Появляется ящерица \ Хозяин нового дома \ Смотрит искоса
Придумай хайку о тени,己が影を慕うて這へる地虫かな,Собственную тень \ Обожая ползёт \ Земляной червь
Напиши хайку о козах,渓声に山羊啼き榛の花垂りぬ,Звук ручья \ Коза кричит \ Цветы лещины свисают
Создай хайку о разговоре,雪虫の群れたる中の立話,Снежные насекомые \ Стоячий разговор \ Среди стаи
Придумай хайку о звуках,沓音の垣にひゞくや散るかしは,Звук башмаков \ Отзывается в заборе \ Опадающий дуб
Напиши хайку о цветах,三椏や皆首垂れて花盛り,Митсумата \ Все склонили головы \ В полном цвету
Создай хайку о еде,炊きあげてうすきみどりや嫁菜飯,Приготовив \ Тонкую зелень \ Рис с полевыми цветами
Придумай хайку о дворе,大いなる双葉もたげぬ庭最中,Великие \ Семядоли не поднимают \ Середина сада
Напиши хайку о цветении,土佐みづき山茱萸も咲きて黃をきそふ,Тоса-мидзуки \ И кизил тоже цветёт \ Соперничают в жёлтом
Создай хайку о супе,藻の如くなびきて青しまつな汁,Как водоросли \ Колышутся синеют \ Суп с горчицей
Придумай хайку о любви,恋草の若むらさきも萌えにけり,Трава любви \ Молодая фиолетовость \ Тоже прорастает
Напиши хайку о друзьях,ぎしぎしやことば無頼の山仲間,Скрип-скрип \ Слова беззаконны \ Горные товарищи
Создай хайку о памяти,喇叭水仙黃なり少年兵の墓,Нарциссы \ Жёлтые \ Могилы мальчиков-солдат
Придумай хайку о цветении,三寸にして支那水洗の花開く,Три суна \ И цветы китайской стирки \ Распускаются
Напиши хайку о воде,雪残る山そこにあり春出水,Снег остаётся \ Гора там \ Весенний паводок
Создай хайку о горах,桑解けば雪嶺春をかゞやかす,Шелковица распускается \ Снежный хребет \ Весну сияет
Придумай хайку о растениях,埒もなく植ゑられてある貝母かな,Без ограничений \ Посажены \ Рябчики
Напиши хайку о рыбе,枸杞に寄る巣離れ鮒の泛子ひとつ,Приближаясь к ягодам годжи \ Отнерестившийся карась \ Один малёк
Создай хайку о камнях,石青し雪代山女魚影ながれ,Камень синий \ Ручьевая форель \ Тень рыбы течёт
Придумай хайку о тумане,剪定の遠きひとりに靄かかる,Обрезка \ Далеко одинокому \ Туман опускается
Напиши хайку о ветре,芥子蒔くや風に乾きし洗髪,Сею мак \ Высохшие на ветру \ Вымытые волосы
Создай хайку о дожде,萍や生ひそめてより軒の雨,Ряска \ С начала прорастания \ Дождь с карниза
Придумай хайку о холоде,掘入や梅まだ寒き木幡道,Выкопанный пруд \ Сливы ещё холодны \ Дорога Кобата
Напиши хайку о воде,植木市水は神域より流れ,Ярмарка растений \ Вода течёт \ Из священной территории
Создай хайку о пути,洛北の径知り来つ光悦忌,Север столицы \ Путь узнал пришёл \ Поминальный день Кохэцу
Придумай хайку о традициях,積塔や古風伝へし膝と膝,Сложенная пагода \ Передавший старый стиль \ Колено с коленом
Напиши хайку о горах,山の端に宝珠のまさる彼岸かな,Горный край \ Драгоценность превосходит \ Равноденствие
Создай хайку о луне,如月の梅の月夜や兼好忌,Второй месяц \ Сливовая лунная ночь \ Поминальный день Кэнко
Придумай хайку о матери,母の日もよしなほ地久節も欲し,День матери тоже хорош \ И ещё хочу \ День вечной верности
Напиши хайку о ритуале,摩耶詣筒の実賽米鳴らしけり,Паломничество в Мая \ Плоды бамбука \ Звенят подношением риса
Создай хайку о людях,嵯峨人に交りて修す祇王の忌,С людьми Сага \ Общаясь совершаю \ Поминальный день Гио
Придумай хайку о звуках,積塔や障子あけたる鳥の声,Сложенная пагода \ Открытая сёдзи \ Голоса птиц
Напиши хайку о бамбуке,とひよりて竹を叩くや元政忌,В ясный день \ Стучу по бамбуку \ Поминальный день Гэнсэй
Создай хайку о дожде,雨となる湖の霞や丈草忌,Становясь дождём \ Озёрная дымка \ Поминальный день Дзёсо
Придумай хайку о пути,野の道や梅から梅へ六阿弥陀,Полевая дорога \ От сливы к сливе \ Шесть Амид
Напиши хайку о море,沖かけて花曇せり河豚供養,В открытое море \ Цветущая облачность \ Поминание фугу
Создай хайку о ангелах,羽紅き受胎告知の大天使,Крылья красные \ Благовещение \ Великий ангел
Придумай хайку о памяти,利休忌や復た世に出でし黄八丈,Поминальный день Рикю \ Снова явившийся в мир \ Жёлтый хатидзё
Напиши хайку о солнце,花会式日輪暈をひろげたり,Цветочная церемония \ Солнечный ореол \ Распространяется
Создай хайку о громе,つり釜や茶の香立つとき春の雷,Подвесной котёл \ Когда поднимается аромат чая \ Весенний гром
Придумай хайку о времени,四旬節大方過ぎぬ蕗の薹,Великий пост \ В основном прошёл \ Стебли фуки
Напиши хайку о цветах,阿蘭陀も花に来にけり馬に鞍,Голландия тоже \ Пришла к цветам \ С седлом на лошади
Создай хайку о монахинях,祭る日もひまなき尼の水粉かな,Даже в день праздника \ Занятая монахиня \ Пудра для лица
Придумай хайку о языке,春場所や浪花言葉の嬌声が,Весенний турнир \ Слова Нанива \ Кокетливые голоса
Напиши хайку о дневнике,春休ひそかにつくる日記かな,Весенний отдых \ Тайно делаю \ Дневник
Создай хайку о пыли,萩の戸に埃叩くやむし鰈,Дверь из клевера \ Выбиваю пыль \ Паровая камбала
Придумай хайку о песке,砂浜や松折りくべて蒸鰈,Песчаный пляж \ Складываю сломанные сосны \ Паровая камбала
Напиши хайку о кораблях,黒船に乗りて来るかや四月馬鹿,На чёрном корабле \ Приеду ли \ Первое апреля
Создай хайку о запахах,箸とれば梅が香もして蒸鰈,Беру палочки \ Аромат сливы тоже источает \ Паровая камбала
Придумай хайку о работе,相寄りしとき声高に新社員,Собираясь вместе \ Голоса громко \ Новые сотрудники
Напиши хайку о времени,蒸鰈子にむしる花過ぎにけり,Паровая камбала \ Срываю \ Цветы прошли
Создай хайку о городе,植樹祭とビルの高さを眼前に,Фестиваль посадки деревьев \ И высота зданий \ Перед глазами
Придумай хайку о силе,虫生きて飛ぶ力もてり車組む,Насекомое живёт \ С силой полёта \ Собираю повозку
Напиши хайку о посланиях,干鰈桃散る里のたよりかな,Сушёная камбала \ Персики опадают \ Деревенские вести
Создай хайку о солнце,橇しまふ農具を庭の日にあてて,Убираю сани \ Сельхозинвентарь в сад \ На солнце
Придумай хайку о языке,島人の訛うれしき桜まじ,Островитяне \ Рад диалекту \ Смешанный с сакурой
Напиши хайку о радуге,初虹や白川道を花売女,Первая радуга \ Дорога Сиракава \ Цветочница
Создай хайку о кораблях,初虹や帆あしの遅きのぼり舟,Первая радуга \ Парус медленный \ Поднимающаяся лодка
Придумай хайку о птицах,おそはるの雀のあたま焦げにけり,Осохару \ Голова воробья \ Обгорела
Напиши хайку о пробуждении,雪囲い解いて明るき目覚かな,Сняв снежную защиту \ Яркое \ Пробуждение
Создай хайку о работе,雪割るや後脳じんと刎ね返る,Разрубая снег \ Затылок онемел \ Отскакивает
Придумай хайку о дыме,噴煙や鰊曇に立ちうすれ,Вулканический дым \ Сельдевая облачность \ Стоит бледнеет
Напиши хайку о луне,花冷に欅はけぶる月夜かな,Цветочный холод \ Дзельква дымится \ Лунная ночь
Создай хайку о поражении,菜種梅雨負け犬去りてわれ佇ちぬ,Рапсовые дожди \ Проигравшая собака ушла \ Я стою
Придумай хайку о море,ナポリの海とろりと凪げり油風,Неаполитанское море \ Медленно утихло \ Масляный ветер
Напиши хайку о дороге,清明や翠微に岐る駅路,Цинмин \ Разветвляется на зелёные склоны \ Станционный путь
Создай хайку о тени,梨棚の地に画く影は春暑き,Грушевая шпалера \ Рисует на земле тень \ Весенняя жара
Придумай хайку о воде,逃水や道の片側田水鳴る,Убегающая вода \ Одна сторона дороги \ Полевая вода звучит
Напиши хайку об утре,清明節の朝しめりよし芋を植う,Цинмин \ Утро влажное хорошо \ Сажаю картофель
Создай хайку о свете,掘り返す塊光る穀雨かな,Перекапывая \ Глыбы сверкают \ Зерновой дождь
Придумай хайку о памяти,飛鶉鼠のむかし忘るゝな,Летящий перепел \ Мышь \ Не забывай прошлое
Напиши хайку о вкусе,鶉かと鼠の味を問てまし,Перепел ли \ Вкус мыши \ Спросил бы
Создай хайку об ответах,怠りし返事かく日や弥生尽,Небрежный \ Ответ в такой день \ Конец третьего месяца
Придумай хайку о птицах,呼子鳥なくか碓氷の盤根石,Птица-свисток кричит \ Усуи \ Корневой камень
Напиши хайку о каплях,頬白や雫し晴るる夕庇,Щегол \ Капли проясняются \ Вечерний карниз
Создай хайку об учителе,桜蘂ふる教師猫背の調べもの,Тычинки сакуры опадают \ Учитель с горбом \ Настраивает инструмент
Придумай хайку о конце,色も香もうしろ姿や弥生尽,Цвет и аромат тоже \ Вид сзади \ Конец третьего месяца
Напиши хайку о глазах,目は借さじ富士を見る目は蛙にも,Глаза не одолжу \ Глаза видящие Фудзи \ Даже лягушке
Создай хайку о возвращении,野蕨の節たつころや帰り鴫,Полевой папоротник \ Время подъёма узлов \ Возвращающийся кулик
Придумай хайку о насекомых,春の蚤うすべり這うてかくれけり,Весенние блохи \ Тонко ползут \ Спрятались
Напиши хайку о ветре,風声のおり居の君や遅桜,Звук ветра \ Сидящий принц \ Поздняя сакура
Создай хайку о цикадах,春蟬のひやひやと鳴くや山の松,Весенняя цикада \ Прохладно поёт \ Горная сосна
Придумай хайку о деревьях,頬白やそら解けしたる桑の枝,Щегол \ Небо растаяло \ Ветви шелковицы
Напиши хайку о яйцах,葭切の卵三つありよりそへる,Камышовка \ Три яйца есть \ Прижимаются
Создай хайку о почках,落葉松の芽は花よりもほのぼのと,Лиственница \ Почки больше чем цветы \ Тёплые
Придумай хайку о цветении,山梨の花まづ白く狭夜明,Груша \ Цветы сначала белые \ Корот
Напиши хайку о рассвете,山梨の花まづ白く狭夜明,Горная груша \ Цветы сначала белеют \ В коротком рассвете
Создай хайку о воде,岩梨や下ゆく水も花の時,Скальная груша \ Вода течёт вниз \ Время цветов
Придумай хайку о растениях,鉢にして桜の下や長春花,В горшке \ Под сакурой \ Барвинок
Напиши хайку о холоде,山梨のあをき花咲く今朝を冷ゆ,Горная груша \ Синие цветы распускаются \ Сегодняшнее утро холодно
Создай хайку о пробуждении,榠樝咲くと見て眠りたり霽れてをり,Увидев цветущую айву \ Спал \ И прояснилось
Придумай хайку о пути,マルメロの花咲き遠く吾は来し,Цветёт айва \ Далеко \ Я пришёл
Напиши хайку о детях,桜桃の花に挿替へ子をみとる,Цветы вишни \ Вставляю заменяю \ Замечаю ребёнка
Создай хайку о дарах,仰ぎ見る吾に鈴懸恵むなり,Поднимаю взгляд \ Мне дарят \ Белые гроздья
Придумай хайку о дороге,山査子の花に岨路夜明けたり,Цветы боярышника \ Крутая дорога \ Рассветает
Напиши хайку о незнании,青木の花のさかりも知らずあたたかき,Цветы аукубы \ Пика не зная \ Тёплые
Создай хайку о времени,大学の時計が灯る樫の花,Университетские часы \ Светятся \ Цветы дуба
Придумай хайку о следах,咲時はしらずいてふの花の跡,Время цветения не зная \ Следы цветов \ Которые говорят
Напиши хайку о луне,月もるや榧の花ちる土手の上,Луна протекает \ Цветы торреи опадают \ На насыпи
Создай хайку о птицах,はしばみにふためきとぶや山がらす,На лещине \ Вспархивает летит \ Горная ворона
Придумай хайку о песне,山中や楮の花に歌書かん,В горах \ На цветах бумажного дерева \ Напишу песню
Напиши хайку о бумаге,旧稿の紙魚もなつかし花梓,Старые рукописи \ Серебрянки тоже милы \ Цветущая катальпа
Создай хайку о небе,おがたまの花ちる天の真名井かな,Цветы огатамы опадают \ Небо \ Колодец Манаи
Придумай хайку о земле,春ふかし雀がくれを沓にふみ,Весна глубока \ Воробьиное укрытие \ Топчу башмаком
Напиши хайку о солнце,露台の日あつく白樺の花すぎぬ,Терраса \ Солнце горячо \ Цветы берёзы прошли
Создай хайку о хозяине,文字ある温泉宿の主人熊谷草,С буквами \ Хозяин горячего источника \ Трава кумагая
Придумай хайку о лисе,狐にも狐の牡丹咲きにけり,Даже лисе \ Лисья пион \ Расцвёл
Напиши хайку о времени,姫著莪にちごゆりにこの午下り,Принцесса сися \ И лилия тиго \ Это послеполуденное время
Создай хайку о пути,藪深く二輪草咲き道は急,Чаща глубока \ Двуцветник цветёт \ Дорога крута
Придумай хайку о погоде,二人静いやがうへにも雨ぐもり,Двое тихих \ Даже выше \ Дождливая облачность
Напиши хайку о радости,土の香のなにかたのしく翁草,Запах земли \ Что-то радостное \ Старик-трава
Создай хайку о цветах,たかんなや一輪草の花群れて,Высокое поле \ Одинокие цветы \ Толпятся
Придумай хайку о сетях,干網の端仙台萩にかゝりけり,Сушёная сеть \ Край \ Цветы сэндай-клевера
Напиши хайку о свете,藪中や日の班とゆらぐ山吹草,В чаще \ Пятна солнца колеблются \ Трава ямабуки
Создай хайку о обуви,濡れ草履脱ぎ棄てにけり纈草,Мокрые сандалии \ Сбросил \ Валериана
Придумай хайку о огне,燃えのこる焚火の跡や碇草,Догорающие \ Следы костра \ Трава якоря
Напиши хайку о детях,わらんべの寿詞はかなし筆竜胆,Детские \ Поздравительные слова мимолётны \ Горечавка-кисть
Создай хайку о дожде,道の辺のすゞふり花に小雨かな,У края дороги \ Цветы судзу-фури \ Лёгкий дождь
Придумай хайку о небе,春りんだう咲く草むらの空高し,Весенняя линдания цветёт \ В зарослях травы \ Небо высоко
Напиши хайку о дворе,古庭やかばかり咲いてきらん草,Старый сад \ Так много цветущих \ Трава киран
Создай хайку о соседях,垣外や誰がむしりゆく連銭草,За забором \ Кто срывает \ Трава денег
Придумай хайку о цвете,こけりんだう樝子の花もこゝに濃し,Моховая линдания \ Цветы айвы тоже \ Здесь густы
Напиши хайку об одежде,十二単の花に脱ぎたる野良着かな,Двенадцать слоёв \ Снятые на цветы \ Рабочая одежда
Создай хайку о именах,らしようもんかつらてふいかめしき名を貰ふ,Расямон \ Имя кацурэтё \ Получаю грозное
Придумай хайку о реке,まむし草濁りて赭き瀬のほとり,Змеиная трава \ Мутная красно-коричневая \ У края порога
Напиши хайку о снеге,雪残る猩々袴花かざし,Снег остаётся \ Красные штаны \ Украшение цветов
Создай хайку о болоте,鷺苔や崩れて痩せ小田の畦,Цапля-мох \ Разрушенный худой \ Болотная канава
Придумай хайку о разрушении,砕米薺にふみ込む畦の崩れ哉,Разбитый рис \ Топчу в клевер \ Разрушенная канава
Напиши хайку о подарках,でゆの主みづといふ菜を土産にくれし,Хозяин Дэю \ Овощ называемый мидзу \ Дал как подарок
Создай хайку о тоске,人恋し都忘れが庭に咲き,Тоскую по людям \ Забвение столицы \ Цветёт в саду
Придумай хайку о яйцах,卵置く三色菫の花の中,Кладу яйца \ Среди цветов \ Трёхцветной фиалки
Напиши хайку о доме,雲行きてをだまきの花も家もなし,Облака идут \ Цветы одамаки \ И дома тоже нет
Создай хайку о любви,一鉢のヘリオトロープ愛し嗅ぐ,Один горшок \ Гелиотроп \ Люблю нюхать
Придумай хайку о цветении,一鉢のあらせいとうの盛りかな,Один горшок \ Арасеито \ В полном цвету
Напиши хайку о тени,翳りきてけまんの花の葉に沈む,Затенившись \ Цветы кеман \ Тону в листьях
Создай хайку о дороге,須磨寺へ松ある道のオキザリス,К храму Сумадэра \ Дорога с соснами \ Оксалис
Придумай хайку о посадках,鍬の刃に掘り来て植ゑしえびねかな,Лезвием мотыги \ Выкопал и посадил \ Эбине
Напиши хайку о табличках,横文字の名札に翳すエリカかな,Западные буквы \ На табличке с именем \ Затеняю эрику
Создай хайку о снеге,初鮒の荷に降る春の小雪かな,Первый карась \ На груз падает \ Весенний снежок
Придумай хайку о уверенности,鷺ふえて鮒の乗込む春たしか,Цапли увеличиваются \ Караси въезжают \ Весна определённо
Напиши хайку о песне,防人の妻恋ふ歌や磯菜つむ,Песня пограничника \ Тоскующего по жене \ Собираю морские водоросли
Создай хайку о море,硯とり法師もすなり土佐の海,Беру тушечницу \ Монах тоже делает \ Море Тоса
Придумай хайку о рыбе,いかなごにかもめがつきぬいざ舟よ,На иканаго \ Чайки напали \ Ну же лодка
Напиши хайку о работе,櫂をもて干し数の子をひろげたり,Вёслами \ Сушёную икру \ Раскладываю
Создай хайку о птицах,桜蝦干せば来るなり浜鴉,Сушу вишнёвых креветок \ Приходят \ Береговые вороны
Придумай хайку о воде,小流れも利根のうちなり種浸す,Маленький поток \ Тоже внутри Тоне \ Замачиваю семена
Напиши хайку о рынке,市の価にふれくる細根大根かな,На рыночную цену \ Приходят сообщать \ Тонкие корни дайкона
Создай хайку о старине,絵襖の古き牡丹に利茶かな,Расписные двери \ Старые пионы \ Хороший чай
Придумай хайку о бедности,春窮や買い手もつかぬ古耕車,Весенняя бедность \ Покупатель тоже не берёт \ Старую сельхозтележку
Напиши хайку о животных,虻振つて馬の仔乳をくゞり出ぬ,Отмахиваясь от слепней \ Жеребёнок \ Высасывает молоко
Создай хайку о молодости,霜除をとりし牡丹のうひうひし,Сняв защиту от инея \ Пионы \ Юные
Придумай хайку о ночи,吉原の夜桜なかを通ひけり,Йошивара \ Среди ночной сакуры \ Проходил
Напиши хайку о погоде,浅間晴れて豌豆の花真白なり,Асама прояснилась \ Цветы гороха \ Совершенно белые
Создай хайку о памяти,墓前うらら弟子等声高虚子忌かな,Перед могилой ясно \ Ученики громкоголосы \ Поминальный день Кёси
Придумай хайку о празднике,花にゐて染織祭を見てゐたり,Сижу на цветах \ Смотрю \ Фестиваль крашения и ткачества
Напиши хайку о обмене,花換の祭の中の渡満兵,Обмен цветами \ Среди фестиваля \ Переправляющиеся солдаты
Создай хайку о одежде,長老の法衣の襞や聖週期,Старший монах \ Складки ризы \ Страстная неделя
Придумай хайку о закате,太白に聖金曜日日落ちたり,Венера \ Страстная пятница \ Солнце садится
Напиши хайку о молитве,腰架の角並びたり受難節,Подставка для таза \ Углы выстроились \ Страстная неделя
Создай хайку о свете,蘇鉄かげ聖土曜日の燈がともる,В тени саговника \ Страстная суббота \ Лампа зажглась
Придумай хайку о рождении,かがやかに蝌蚪生れつげり復活祭,Сияюще \ Головастики родились \ Пасха
Напиши хайку о весне,青柳に遊ぶ糸あり善導忌,На зелёной иве \ Играющие нити \ Поминальный день Зендо
Создай хайку о возвращении,花会式かへりは国栖に宿らんか,Цветочная церемония \ На обратном пути \ Переночую в Кунису
Придумай хайку о празднике,大茶盛蝶ちらちらの西大寺,Большой чайный пир \ Бабочки порхают \ Храм Сайдайдзи
Напиши хайку о боге,神帰り其座や袖の花鎮,Бог возвращается \ Его место \ Цветочное подношение на рукаве
Создай хайку о куклах,流し雛冠をぬいで舟にます,Плывущие куклы \ Снимая короны \ В лодке
Придумай хайку о толпе,稲荷お出も塩小路あたりものめきぬ,Выход Инари \ Район Сиокодзи \ Тоже уставился
Напиши хайку о птицах,花になく燕来たり貝の華,На цветах плача \ Ласточки прилетели \ Цветы ракушек
Создай хайку о звоне,座について供養の鐘を見上げけり,Сев \ Поминальный колокол \ Смотрю вверх
Придумай хайку о работе,ねむき子を負ひメーデーの後尾ゆく,Несу сонного ребёнка \ Иду в хвосте \ Первомая
Напиши хайку о паломничестве,糸游や野崎参りの褄からげ,Парящие нити \ Паломничество в Носаки \ Подобрав полы
Создай хайку о времени,三の替いとまなき身を歎くかな,Третья смена \ Тело без отдыха \ О вздыхаю
Придумай хайку о стрельбе,小弓引的を桜にうつしけり,Натягивая маленький лук \ Мишень \ Перенёс на сакуру
Напиши хайку о празднике,手毬咲きぬ山村憲法記念の日,Цветы тэмари распустились \ Горная деревня \ День конституции
Создай хайку о детях,雛あられ両手にうけてこぼしけり,Кукольное угощение \ Принимаю двумя руками \ Проливаю
Придумай хайку о ночи,朧夜や人彳るなしの園,Туманная ночь \ Никого идущего \ Сад
Напиши хайку о людях,あらはれし干潟に人のはや遊ぶ,Появившийся \ На отмели люди \ Уже играют
Создай хайку о пруде,麦畑の人見る春の塘かな,Пшеничное поле \ Человек смотрит \ Весенний пруд
Придумай хайку о воде,春の池葉騒いちにちあふれけり,Весенний пруд \ Листья шумят весь день \ Переполняются
